Names,Wins,Played,Lost,winRatio
Sanjay,9,28,19,32.14
thamarmo,5,18,13,27.78
Abhishek,9,32,23,28.12
Shishtaouk,3,7,4,42.86
NipPincher,0,8,8,0.0
Diraj,1,13,12,7.69
SugaDaddy,4,13,9,30.77
Spartan,6,16,10,37.5
